city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness
tara,47.3900474,0.6889268,Clear,48.33,88,1018,3.44,0
klaksvik,62.2266084,-6.5852705,Rain,49.24,93,979,22.48,90
meadow lake,54.13026,-108.435059,Clouds,8.58,72,1025,4.61,100
punta arenas,-53.1625688,-70.907822,Clouds,51.3,43,1007,19.51,89
avarua,-21.2074736,-159.7708145,Clouds,76.98,73,1018,13.8,20
illoqqortoormiut,70.4850588,-21.9641992,Clouds,13.26,81,1008,10.76,100
upernavik,72.7847392,-56.1469625,Clouds,8.47,86,1006,3.18,100
eidfjord,60.3456582,7.401214539839967,Clouds,35.51,97,1000,8.39,100
vaini,-21.1925671,-175.1772797,Clouds,76.78,83,1014,22.57,46
puerto ayora,-0.7471674,-90.3134198,Clouds,71.2,80,1012,5.99,17
alofi,-19.0534159,-169.919199,Clouds,81.1,69,1015,14.97,75
butaritari,2.9205375,172.91886331442205,Clouds,81.43,78,1012,21.52,100
tautira,-27.145219,-109.430579,Clouds,74.16,56,1023,18.41,40
barrow,71.2905556,-156.788611,Clouds,24.82,86,997,11.5,20
albany,42.6511674,-73.754968,Clouds,50.58,40,1032,9.22,20
kurilsk,45.2290413,147.8751845,Clouds,49.37,72,1011,18.25,100
fairbanks,64.837845,-147.716675,Snow,21.04,89,1006,5.75,75
ushuaia,-54.806115899999995,-68.3184972880496,Clouds,46.09,61,1002,19.57,40
yerbogachen,61.275021,108.009712,Snow,19.4,92,1016,12.15,100
avera,43.3896226,-0.1768284,Fog,48.78,95,1023,3.44,43
laguna,-28.4837443,-48.7816572,Clouds,66.29,82,1015,9.22,12
rikitea,-23.1229544,-134.9680141,Clouds,73.22,88,1019,10.07,100
basco,40.3278229,-91.2001437,Clear,77.32,57,1018,12.28,2
rio tinto,-6.803828,-35.077569,Clouds,81.09,75,1013,9.26,25
longyearbyen,78.2231558,15.6463656,Clear,21.47,73,1013,12.66,0
hermanus,-34.4175,19.2361111,Clouds,57.83,61,1020,10.74,95
busselton,-33.644499,115.3488754,Clouds,57.9,89,1009,6.35,93
hilo,19.7073734,-155.08158,Rain,79.09,76,1021,5.75,0
winnemucca,40.972415,-117.7347619,Clouds,37.36,75,1013,21.85,100
belushya guba,71.5376984,52.3427343,Clouds,19.98,84,1016,2.84,87
mataura,-46.192734,168.8642685,Clear,53.47,52,1029,3.76,3
